,track_id,genre_top
2,2,Hip-Hop
3,3,Hip-Hop
4,5,Hip-Hop
5,10,Pop
6,20,Other
7,26,Other
8,30,Other
9,46,Other
10,48,Other
11,134,Hip-Hop
12,135,Rock
13,136,Rock
14,137,Experimental
15,138,Experimental
16,139,Folk
17,140,Folk
18,141,Folk
19,142,Folk
20,144,Jazz
21,145,Jazz
22,146,Jazz
23,147,Jazz
24,148,Experimental
25,149,Experimental
26,150,Experimental
27,151,Rock
28,152,Rock
29,153,Rock
30,154,Rock
31,155,Rock
32,156,Experimental
33,157,Experimental
34,158,Experimental
35,159,Experimental
36,160,Experimental
37,161,Experimental
38,162,Experimental
39,163,Experimental
40,164,Experimental
41,165,Experimental
42,166,Experimental
43,167,Experimental
44,168,Experimental
45,169,Rock
46,170,Rock
47,171,Rock
48,172,Rock
49,173,Rock
50,174,Rock
51,175,Rock
52,176,Rock
53,177,Rock
54,178,Rock
55,179,Rock
56,181,Rock
57,182,Rock
58,183,Rock
59,184,Rock
60,185,Other
61,188,Folk
62,189,Folk
63,190,Folk
64,191,Folk
65,192,Folk
66,193,Folk
67,194,Folk
68,195,Folk
69,196,Folk
70,197,Folk
71,198,Folk
72,199,Folk
73,200,Folk
74,201,Folk
75,202,Folk
76,203,Folk
77,204,Folk
78,205,Folk
79,206,Folk
80,207,Folk
81,208,Folk
82,209,Folk
83,210,Folk
84,211,Folk
85,212,Folk
86,213,Pop
87,226,Rock
88,228,Rock
89,236,Other
90,237,Jazz
91,238,Jazz
92,246,Other
93,247,Rock
94,248,Other
95,249,Rock
96,250,Other
97,251,Other
98,252,Rock
99,253,Other
100,254,Other
101,255,Rock
102,256,Rock
103,257,Rock
104,258,Rock
105,273,Experimental
106,274,Experimental
107,275,Experimental
108,276,Experimental
109,277,Experimental
110,281,Experimental
111,282,Experimental
112,284,Experimental
113,285,Experimental
114,293,Experimental
115,294,Experimental
116,297,Experimental
117,300,Experimental
118,303,Rock
119,304,Rock
120,305,Rock
121,306,Rock
122,307,Rock
123,308,Rock
124,309,Rock
125,310,Rock
126,311,Rock
127,312,Rock
128,313,Rock
129,314,Rock
130,315,Rock
131,316,Rock
132,317,Rock
133,318,Rock
134,319,Rock
135,320,Rock
136,321,Rock
137,322,Rock
138,323,Rock
139,324,Rock
140,325,Rock
141,326,Rock
142,327,Rock
143,328,Rock
144,330,Rock
145,331,Rock
146,332,Rock
147,333,Rock
148,334,Rock
149,335,Rock
150,336,Rock
151,337,Rock
152,338,Rock
153,339,Rock
154,340,Rock
155,341,Rock
156,342,Rock
157,343,Rock
158,344,Rock
159,345,Rock
160,346,Rock
161,347,Rock
162,348,Rock
163,349,Rock
164,350,Rock
165,351,Rock
166,352,Rock
167,353,Rock
168,354,Rock
169,355,Rock
170,356,Rock
171,357,Rock
172,358,Rock
173,359,Rock
174,360,Rock
175,361,Rock
176,362,Rock
177,363,Rock
178,364,Rock
179,365,Rock
180,366,Rock
181,367,Rock
182,368,Rock
183,369,Rock
184,370,Rock
185,371,Rock
186,384,Electronic
187,385,Electronic
188,386,Electronic
189,387,Electronic
190,393,Rock
191,394,Rock
192,395,Rock
193,396,Electronic
194,397,Electronic
195,398,Electronic
196,399,Electronic
197,400,Electronic
198,401,Electronic
199,402,Electronic
200,403,Electronic
201,404,Electronic
202,405,Electronic
203,406,Electronic
204,407,Electronic
205,408,Electronic
206,410,Electronic
207,411,Electronic
208,412,Electronic
209,414,Electronic
210,416,Electronic
211,417,Experimental
212,418,Other
213,419,Experimental
214,420,Other
215,421,Experimental
216,422,Other
217,423,Other
218,424,Experimental
219,425,Experimental
220,426,Experimental
221,427,Experimental
222,428,Experimental
223,429,Experimental
224,430,Experimental
225,431,Experimental
226,432,Experimental
227,433,Experimental
228,434,Experimental
229,435,Experimental
230,436,Experimental
231,437,Experimental
232,438,Experimental
233,439,Experimental
234,440,Other
235,441,Other
236,442,Other
237,443,Other
238,444,Other
239,445,Other
240,446,Other
241,447,Other
242,448,Other
243,449,Other
244,450,Other
245,451,Other
246,452,Other
247,458,Rock
248,459,Rock
249,461,Other
250,462,Other
251,463,Other
252,464,Other
253,465,Other
254,466,Rock
255,467,Rock
256,468,Rock
257,469,Rock
258,470,Rock
259,471,Rock
260,472,Rock
261,473,Rock
262,474,Rock
263,475,Rock
264,476,Rock
265,477,Rock
266,478,Rock
267,479,Rock
268,480,Rock
269,481,Rock
270,482,Rock
271,483,Rock
272,484,Rock
273,485,Rock
274,486,Rock
275,487,Rock
276,489,Rock
277,490,Rock
278,491,Rock
279,492,Rock
280,493,Rock
281,495,Rock
282,496,Rock
283,497,Rock
284,498,Rock
285,500,Rock
286,501,Rock
287,502,Rock
288,503,Rock
289,504,Rock
290,506,Rock
291,507,Rock
292,508,Rock
293,509,Rock
294,510,Rock
295,511,Rock
296,512,Rock
297,513,Rock
298,514,Rock
299,515,Rock
300,516,Rock
301,517,Rock
302,520,Rock
303,521,Rock
304,522,Rock
305,523,Rock
306,524,Rock
307,525,Rock
308,526,Rock
309,527,Rock
310,528,Rock
311,529,Rock
312,530,Rock
313,531,Rock
314,532,Electronic
315,533,Electronic
316,534,Folk
317,535,Folk
318,536,Folk
319,537,Folk
320,538,Folk
321,539,Folk
322,540,Folk
323,541,Folk
324,542,Folk
325,543,Folk
326,544,Folk
